table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_session	PRIMARY	PRIMARY KEY	Y	session_id	htdocs/install/mysql/tables/llx_session-disabled.sql	启用	主键在建表文件中定义
llx_societe_account	idx_societe_account_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	idx_societe_account_fk_website	INDEX	N	fk_website	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	idx_societe_account_login	INDEX	N	login	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	idx_societe_account_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	idx_societe_account_status	INDEX	N	status	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_account.sql	启用	主键在建表文件中定义
llx_societe_account	uk_societe_account_key_account_soc	INDEX	Y	entity, fk_soc, key_account, site, fk_website	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_account	uk_societe_account_login_website	INDEX	Y	entity, login, site, fk_website	htdocs/install/mysql/tables/llx_societe_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_commerciaux	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_commerciaux.sql	启用	主键在建表文件中定义
llx_societe_commerciaux	uk_societe_commerciaux_c_type_contact	INDEX	Y	fk_soc, fk_user, fk_c_type_contact_code	htdocs/install/mysql/tables/llx_societe_commerciaux.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_contacts	idx_societe_contacts_idx1	INDEX	Y	entity, fk_soc, fk_c_type_contact, fk_socpeople	htdocs/install/mysql/tables/llx_societe_contacts.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_contacts	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_contacts.sql	启用	主键在建表文件中定义
llx_societe_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_extrafields.sql	启用	主键在建表文件中定义
llx_societe_extrafields	uk_societe_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_societe_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_perentity	idx_societe_perentity_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_societe_perentity-multicompany.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_perentity	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_perentity-multicompany.sql	启用	主键在建表文件中定义
llx_societe_perentity	uk_societe_perentity	INDEX	Y	fk_soc, entity	htdocs/install/mysql/tables/llx_societe_perentity-multicompany.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_prices	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe_prices.sql	启用	主键在建表文件中定义
llx_societe_remise_except	idx_societe_remise_except_discount_type	INDEX	N	discount_type	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_remise_except	idx_societe_remise_except_fk_facture	INDEX	N	fk_facture	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe_remise_except	idx_societe_remise_except_fk_facture_line	INDEX	N	fk_facture_line	htdocs/install/mysql/tables/llx_societe_remise_except.key.sql	启用	索引由 .key.sql 安装脚本创建
